vorname,anzahl,geschlecht
Marie,316,w
Sophie,249,w
Maria,179,w
Maximilian,158,m
Alexander,153,m
Paul,138,m
Anna,135,w
Emilia,128,w
Noah,118,m
Ben,110,m
Elias,110,m
Mia,106,w
Sophia,102,w
Jakob,101,m
Emma,99,w
David,95,m
Jonas,93,m
Charlotte,92,w
Johanna,91,w
Felix,87,m
Leon,87,m
Anton,83,m
Louis,83,m
Katharina,80,w
Lina,80,w
Luca,78,m
Lea,74,w
Emil,74,m
Hanna,70,w
Lukas,69,m
Jan,67,m
Lena,64,w
Luisa,63,w
Lara,62,w
Henry,61,m
Greta,61,w
Jonathan,60,m
Philipp,60,m
Leonie,59,w
Leonard,59,m
Tom,59,m
Samuel,58,m
Amelie,57,w
Luis,56,m
Max,56,m
Julia,55,w
Luise,55,w
Mila,55,w
Finn,55,m
Julius,55,m
Laura,54,w
Sofia,54,w
Daniel,54,m
Johannes,54,m
Julian,54,m
Elisa,53,w
Marlene,53,w
Henri,53,m
Moritz,53,m
Theo,53,m
Elisabeth,52,w
Mats,52,m
Clara,50,w
Tim,50,m
Ella,49,w
Mina,49,w
Niklas,49,m
Emily,48,w
Ida,48,w
Antonia,47,w
Hannah,47,w
Johann,47,m
Leo,47,m
Vincent,47,m
Elif,46,w
Mira,46,w
Benjamin,44,m
Leni,43,w
Joel,43,m
Oskar,43,m
Simon,43,m
Josefine,42,w
Paula,42,w
Frieda,40,w
Ali,40,m
Christian,40,m
Gabriel,40,m
Liam,40,m
Michael,40,m
Mathilda,39,w
Carlotta,37,w
Karl,37,m
Peter,37,m
Maya,36,w
Nele,36,w
Victoria,36,w
Helena,35,w
Lia,35,w
Sofie,35,w
Valentin,35,m
Lotta,34,w
Sara,34,w
Levi,34,m
Muhammed,34,m
Klara,33,w
Lisa,33,w
Constantin,33,m
Maja,33,w
Konstantin,33,m
Matilda,33,w
Wilhelm,33,m
Isabella,32,w
Frederik,32,m
Louisa,32,w
Friedrich,31,m
Eva,30,w
Erik,30,m
Josef,30,m
Justus,30,m
Mika,30,m
Raphael,30,m
Yusuf,30,m
Pia,29,w
Valentina,29,w
Adam,29,m
Emir,29,m
Fabian,29,m
Joshua,29,m
Can,28,m
Helene,27,w
Jana,27,w
Martha,27,w
Pauline,27,w
Zoe,27,w
Aaron,27,m
Carl,27,m
Nick,27,m
Sebastian,27,m
Alina,26,w
Carla,26,w
Frida,26,w
Isabel,26,w
Josephine,26,w
Nur,26,w
Sarah,26,w
Zeynep,26,w
Jasper,26,m
Jona,26,m
Lilly,25,w
Malik,25,m
Matteo,25,m
Rafael,25,m
Till,25,m
Alexandra,24,w
Elena,24,w
Adrian,24,m
Emilio,24,m
Florian,24,m
Hamza,24,m
Maxim,24,m
Milan,24,m
Ela,23,w
Lucia,23,w
Hannes,23,m
Leander,23,m
Mattis,23,m
Robin,23,m
Tobias,23,m
Melina,22,w
Theresa,22,w
Noel,22,m
Ole,22,m
Theodor,22,m
Amalia,21,w
Emin,21,m
Fynn,21,m
Jonah,21,m
Lasse,21,m
Linus,21,m
Nils,21,m
Aurelia,20,w
Franziska,20,w
Arthur,20,m
Fritz,20,m
Georg,20,m
Nina,19,w
Nora,19,w
Benedikt,19,m
Hugo,19,m
Thomas,19,m
Timo,19,m
Ömer,19,m
Ava,18,w
Lilli,18,w
Merle,18,w
Viktoria,18,w
Andreas,18,m
Lucas,18,m
Martin,18,m
Nicolas,18,m
Toni,18,m
Amira,17,w
Elise,17,w
Lotte,17,w
Mara,17,w
Meryem,17,w
Milena,17,w
Milla,17,w
Olivia,17,w
Stella,17,w
Caspar,17,m
Ensar,17,m
Jacob,17,m
Kaan,17,m
Lennart,17,m
Marvin,17,m
Milo,17,m
Mustafa,17,m
Diana,16,w
Luana,16,w
Malou,16,w
Melissa,16,w
Michelle,16,w
Tilda,16,w
Alessandro,16,m
Bruno,16,m
Damian,16,m
Deniz,16,m
Kian,16,m
Konrad,16,m
Lennard,16,m
Luka,16,m
Matthias,16,m
Asya,15,w
Fabienne,15,w
Helen,15,w
Julie,15,w
Liya,15,w
Louise,15,w
Melek,15,w
Miray,15,w
Paulina,15,w
Romy,15,w
Alex,15,m
Bela,15,m
Ferdinand,15,m
Jason,15,m
Kerem,15,m
Maria,15,m
Mert,15,m
Miguel,15,m
Mohamed,15,m
Oscar,15,m
Richard,15,m
Sami,15,m
Severin,15,m
Titus,15,m
Amina,14,w
Anastasia,14,w
Angelina,14,w
Annika,14,w
Emilie,14,w
Fiona,14,w
Giulia,14,w
Luna,14,w
Teresa,14,w
Arian,14,m
Kilian,14,m
Lennox,14,m
Mateo,14,m
Mete,14,m
Oliver,14,m
Pepe,14,m
Rayan,14,m
Sam,14,m
Amelia,13,w
Leyla,13,w
Liv,13,w
Lou,13,w
Nisa,13,w
Philippa,13,w
Zoé,13,w
Ahmet,13,m
Carlo,13,m
Emre,13,m
Eren,13,m
Heinrich,13,m
Jannis,13,m
Matti,13,m
Phil,13,m
Robert,13,m
Yasin,13,m
Anouk,12,w
Christina,12,w
Fatima,12,w
Jasmin,12,w
Jolie,12,w
Jonna,12,w
Jule,12,w
Karla,12,w
Linda,12,w
Su,12,w
Tuana,12,w
Zehra,12,w
Efe,12,m
Fabio,12,m
Kenan,12,m
Lars,12,m
Laurenz,12,m
Leonardo,12,m
Younes,12,m
Alma,11,w
Anne,11,w
Anni,11,w
Dilara,11,w
Elli,11,w
Esma,11,w
Finja,11,w
Grace,11,w
Hira,11,w
Joleen,11,w
Lynn,11,w
Margarete,11,w
Mona,11,w
Rosa,11,w
Rosalie,11,w
Zoey,11,w
Alessio,11,m
Antonio,11,m
Aras,11,m
Arda,11,m
August,11,m
Bilal,11,m
Dominik,11,m
Eric,11,m
Gustav,11,m
Henrik,11,m
Jamie,11,m
John,11,m
Leonhard,11,m
Marlon,11,m
Michel,11,m
Miran,11,m
Nico,11,m
Selim,11,m
Yannick,11,m
Yunus,11,m
Alice,10,w
Amy,10,w
Aylin,10,w
Chiara,10,w
Esila,10,w
Ina,10,w
Isabell,10,w
Juli,10,w
Juliana,10,w
Lorena,10,w
Malin,10,w
Marleen,10,w
Neele,10,w
Selina,10,w
Selma,10,w
Vanessa,10,w
Amin,10,m
Clemens,10,m
Dean,10,m
Enes,10,m
Francesco,10,m
Franz,10,m
Hüseyin,10,m
Ibrahim,10,m
Ilias,10,m
Juri,10,m
Kurt,10,m
Leandro,10,m
Lenny,10,m
Lian,10,m
Luke,10,m
Malte,10,m
Mike,10,m
Taha,10,m
Wolfgang,10,m
Alessia,9,w
Caroline,9,w
Christine,9,w
Dana,9,w
Emelie,9,w
Eslem,9,w
Estelle,9,w
Flora,9,w
Florentine,9,w
Kim,9,w
Lucy,9,w
Magdalena,9,w
Marta,9,w
Maryam,9,w
Naomi,9,w
Noemi,9,w
Rebecca,9,w
Ronja,9,w
Zara,9,w
Zümra,9,w
Adem,9,m
Ahmed,9,m
Albert,9,m
Berat,9,m
Cem,9,m
Diego,9,m
Elyas,9,m
Emilian,9,m
Enno,9,m
Fiete,9,m
Giuseppe,9,m
Ilyas,9,m
Jannes,9,m
Kai,9,m
Klaus,9,m
Leopold,9,m
Luan,9,m
Manuel,9,m
Marc,9,m
Markus,9,m
Otto,9,m
Thiago,9,m
Timur,9,m
Tristan,9,m
Victor,9,m
Ada,8,w
Amélie,8,w
Aurora,8,w
Ayla,8,w
Azra,8,w
Ceyda,8,w
Christin,8,w
Daria,8,w
Defne,8,w
Dorothea,8,w
Elin,8,w
Elina,8,w
Esther,8,w
Felicitas,8,w
Juna,8,w
Larissa,8,w
Lucie,8,w
Miriam,8,w
Pina,8,w
Tabea,8,w
Tamara,8,w
Zeyneb,8,w
Alejandro,8,m
Amir,8,m
Artur,8,m
Bastian,8,m
Benno,8,m
Christoph,8,m
Edgar,8,m
Ediz,8,m
Elia,8,m
Hans,8,m
Hasan,8,m
Ian,8,m
James,8,m
Janosch,8,m
Jayden,8,m
Jerome,8,m
Johan,8,m
Joris,8,m
Kadir,8,m
Kalle,8,m
Levin,8,m
Niclas,8,m
Nikolas,8,m
Philip,8,m
Piet,8,m
Rudolf,8,m
Said,8,m
Salvatore,8,m
Semih,8,m
Stefan,8,m
Talha,8,m
Tarik,8,m
Tyler,8,m
Alicia,7,w
Alisa,7,w
Ana,7,w
Angela,7,w
Christa,7,w
Elsa,7,w
Felicia,7,w
Gabriele,7,w
Helin,7,w
Juliane,7,w
Kiara,7,w
Kristina,7,w
Lana,7,w
Letizia,7,w
Lilith,7,w
Mathilde,7,w
Medina,7,w
Melody,7,w
Minou,7,w
Naz,7,w
Patricia,7,w
Rabia,7,w
Rose,7,w
Sina,7,w
Sonja,7,w
Thea,7,w
Valerie,7,w
Yasmin,7,w
Yağmur,7,w
Andrej,7,m
André,7,m
Ayoub,7,m
Carlos,7,m
Gereon,7,m
Giovanni,7,m
Herbert,7,m
Hermann,7,m
Jannik,7,m
Joscha,7,m
Julien,7,m
Kevin,7,m
Len,7,m
Lenn,7,m
Mahir,7,m
Marian,7,m
Marko,7,m
Mehmet,7,m
Miraç,7,m
Niko,7,m
Osman,7,m
Patrick,7,m
Umut,7,m
Viktor,7,m
Alea,6,w
Alena,6,w
Alva,6,w
Annabelle,6,w
Ayda,6,w
Bella,6,w
Beyza,6,w
Celina,6,w
Cleo,6,w
Ecrin,6,w
Eda,6,w
Eliza,6,w
Ellen,6,w
Erva,6,w
Fine,6,w
Hermine,6,w
Ingrid,6,w
Jolina,6,w
Joline,6,w
Joy,6,w
Kira,6,w
Lee,6,w
Leona,6,w
Lola,6,w
Malia,6,w
Mariam,6,w
Marina,6,w
Merve,6,w
Meta,6,w
Mieke,6,w
Natalia,6,w
Nicole,6,w
Noa,6,w
Rita,6,w
Sena,6,w
Shirin,6,w
Veronika,6,w
Abdullah,6,m
Alan,6,m
Angelo,6,m
Berkay,6,m
Burak,6,m
Colin,6,m
Connor,6,m
Dario,6,m
Denis,6,m
Eliah,6,m
Emanuel,6,m
Halil,6,m
Hanno,6,m
Jaden,6,m
Jaron,6,m
Karlo,6,m
Leonas,6,m
Lion,6,m
Lorenz,6,m
Mads,6,m
Magnus,6,m
Mario,6,m
Mathis,6,m
Maurice,6,m
Mikail,6,m
Mohammed,6,m
Nikolai,6,m
Poyraz,6,m
Rolf,6,m
Ryan,6,m
Sascha,6,m
Vincenzo,6,m
Willi,6,m
William,6,m
Aaliyah,5,w
Adriana,5,w
Aimée,5,w
Aleyna,5,w
Aliya,5,w
Almina,5,w
Amine,5,w
Angelika,5,w
Asmin,5,w
Ayşe,5,w
Beren,5,w
Ceylin,5,w
Chanel,5,w
Cäcilia,5,w
Daniela,5,w
Enie,5,w
Fee,5,w
Franka,5,w
Friederike,5,w
Gabriela,5,w
Hümeyra,5,w
Ilayda,5,w
Iman,5,w
Inge,5,w
Janne,5,w
Jennifer,5,w
Jessica,5,w
Jette,5,w
Joanna,5,w
Julina,5,w
Karlotta,5,w
Karolina,5,w
Kate,5,w
Kathrin,5,w
Kübra,5,w
Leandra,5,w
Lene,5,w
Liah,5,w
Liana,5,w
Liliana,5,w
Lily,5,w
Loreen,5,w
Adriano,5,m
Luca,5,w
Arne,5,m
Madita,5,w
Aron,5,m
Marieke,5,w
Bennet,5,m
Mariella,5,w
Bernd,5,m
Mary,5,w
Bernhard,5,m
Mayla,5,w
Brian,5,m
Melisa,5,w
Charlie,5,m
Milana,5,w
Cornelius,5,m
Monika,5,w
Fatih,5,m
Nadia,5,w
Fridolin,5,m
Nela,5,w
Furkan,5,m
Nika,5,w
Giuliano,5,m
Rieke,5,w
Gregor,5,m
Ruby,5,w
Henning,5,m
Ruth,5,w
Jamal,5,m
Samantha,5,w
Jonte,5,m
Samira,5,w
Joseph,5,m
Selin,5,w
Josh,5,m
Smilla,5,w
Jürgen,5,m
Soraya,5,w
Kaspar,5,m
Svea,5,w
Kuzey,5,m
Tamina,5,w
Laurin,5,m
Veronica,5,w
Lean,5,m
Wilhelmine,5,w
Lio,5,m
Yaren,5,w
Manfred,5,m
Marco,5,m
Marius,5,m
Mathias,5,m
Mattes,5,m
Matthis,5,m
Mirac,5,m
Muhammad,5,m
Neven,5,m
Noa,5,m
Norbert,5,m
Rainer,5,m
Ricardo,5,m
Roman,5,m
Ruben,5,m
Salim,5,m
Serdar,5,m
Singh,5,m
Stephan,5,m
Sven,5,m
Thore,5,m
Til,5,m
Walter,5,m
Werner,5,m
Zakaria,5,m
Adele,4,w
Alessandra,4,w
Alexia,4,w
Alisha,4,w
Alissa,4,w
Annabell,4,w
Ashley,4,w
Barbara,4,w
Brigitte,4,w
Carina,4,w
Carolin,4,w
Catharina,4,w
Catherine,4,w
Cemile,4,w
Cemre,4,w
Claire,4,w
