vorname,anzahl,geschlecht
Marie,293,w
Sophie,226,w
Maximilian,158,m
Maria,142,w
Paul,132,m
Alexander,118,m
Anna,110,w
Mia,106,w
Ben,102,m
Noah,102,m
Sophia,102,w
David,100,m
Elias,100,m
Emma,89,w
Johanna,88,w
Emilia,87,w
Katharina,87,w
Luca,86,m
Leon,85,m
Jonas,80,m
Felix,79,m
Lina,78,w
Jan,75,m
Leonie,74,w
Julian,72,m
Charlotte,71,w
Lukas,71,m
Jakob,67,m
Jonathan,65,m
Moritz,65,m
Lara,64,w
Luisa,64,w
Julius,63,m
Anton,61,m
Lea,60,w
Luis,59,m
Tim,58,m
Mila,57,w
Louis,57,m
Max,57,m
Greta,55,w
Paula,55,w
Emil,54,m
Ella,53,w
Laura,53,w
Lena,53,w
Luise,53,w
Marlene,51,w
Leo,50,m
Elisabeth,50,w
Johannes,49,m
Niklas,49,m
Lotta,48,w
Gabriel,48,m
Valentin,48,m
Emily,47,w
Mats,47,m
Oskar,47,m
Emir,46,m
Finn,46,m
Joel,46,m
Tom,45,m
Amelie,44,w
Benjamin,44,m
Henri,43,m
Vincent,43,m
Clara,42,w
Elisa,42,w
Hannah,42,w
Samuel,41,m
Florian,40,m
Ida,39,w
Sarah,39,w
Christian,39,m
Louisa,38,w
Sofia,38,w
Victoria,38,w
Ali,38,m
Adrian,37,m
Leonard,37,m
Peter,37,m
Simon,37,m
Carlotta,36,w
Hanna,36,w
Matilda,36,w
Daniel,36,m
Philipp,36,m
Elif,35,w
Julia,35,w
Leni,35,w
Maya,35,w
Michael,35,m
Friedrich,34,m
Karl,34,m
Alina,33,w
Antonia,33,w
Frederik,33,m
Mathilda,32,w
Ole,32,m
Lisa,31,w
Maja,31,w
Sofie,31,w
Jana,30,w
Lia,30,w
Melina,30,w
Nele,30,w
Fabian,30,m
Pauline,30,w
Johann,30,m
Sara,30,w
Carl,29,m
Lilly,29,w
Henry,29,m
Nur,29,w
Levi,29,m
Pia,29,w
