vorname,anzahl,geschlecht
Marie,282,w
Sophie,248,w
Maximilian,178,m
Maria,158,w
Alexander,143,m
Paul,124,m
Anna,112,w
Mia,101,w
Felix,100,m
Johanna,99,w
Katharina,99,w
Ben,98,m
Leon,93,m
David,86,m
Julian,86,m
Noah,86,m
Emma,84,w
Elias,84,m
Emilia,83,w
Charlotte,81,w
Jonas,81,m
Sophia,79,w
Jakob,76,m
Lara,72,w
Luca,71,m
Lukas,71,m
Anton,69,m
Luis,68,m
Lea,66,w
Tim,64,m
Lina,63,w
Lena,60,w
Elisabeth,59,w
Jan,58,m
Max,58,m
Luisa,57,w
Emil,57,m
Simon,57,m
Jonathan,56,m
Tom,56,m
Julia,55,w
Laura,55,w
Gabriel,54,m
Louis,54,m
Moritz,54,m
Leonard,53,m
Niklas,53,m
Leonie,52,w
Elisa,48,w
Emily,48,w
Johannes,48,m
Ella,46,w
Marlene,46,w
Benjamin,46,m
Joel,45,m
Philipp,45,m
Greta,44,w
Hannah,44,w
Johann,44,m
Luise,43,w
Sofia,43,w
Florian,43,m
Leo,43,m
Christian,42,m
Julius,42,m
Clara,41,w
Lotta,41,w
Daniel,41,m
Mats,41,m
Ida,40,w
Henri,40,m
Amelie,39,w
Helena,39,w
Michael,39,m
Oskar,39,m
Sarah,38,w
Finn,38,m
Karl,38,m
Peter,38,m
Vincent,38,m
Antonia,37,w
Hanna,37,w
Helene,37,w
Lisa,37,w
Paula,37,w
Sara,37,w
Samuel,37,m
Mila,35,w
Victoria,35,w
Ali,35,m
Mika,35,m
Ela,34,w
Melina,34,w
Fabian,34,m
Sebastian,34,m
Carlotta,33,w
Isabella,33,w
Nils,33,m
Nur,32,w
Ole,32,m
Maja,31,w
Kaan,31,m
Muhammed,31,m
Valentin,31,m
Yusuf,31,m
Carla,30,w
Leni,30,w
Lilly,30,w
Mathilda,30,w
Aaron,30,m
Elif,29,w
Josephine,29,w
Lia,28,w
Louisa,28,w
Pauline,28,w
Valentina,28,w
Levi,27,m
Alina,27,w
Noel,27,m
Eva,27,w
Klara,27,w
Maya,27,w
Pia,27,w
Zeynep,27,w
Can,26,m
Justus,26,m
Linus,26,m
Louise,26,w
Martha,26,w
Matilda,26,w
Efe,25,m
Leander,25,m
Theo,25,m
Thomas,25,m
Timo,25,m
Franziska,25,w
Tobias,25,m
Frieda,25,w
Wilhelm,25,m
Lotte,25,w
Melissa,25,w
Carl,24,m
Constantin,24,m
Josefine,24,w
Emir,24,m
Nele,24,w
Friedrich,24,m
Zoe,24,w
Fynn,24,m
Henry,24,m
Jasper,24,m
Jona,24,m
Jana,23,w
Jule,23,w
Milla,23,w
Frederik,23,m
Martin,23,m
Frida,22,w
Isabel,22,w
Mina,22,w
Adam,22,m
Liam,22,m
Nick,22,m
Robin,22,m
Annika,21,w
Ecrin,21,w
Mira,21,w
Erik,21,m
Konstantin,21,m
Marc,21,m
Maria,21,m
Theodor,21,m
Chiara,20,w
Fiona,20,w
Lucia,20,w
Paulina,20,w
Nico,20,m
Oliver,20,m
Robert,20,m
Celina,19,w
Giulia,19,w
Luna,19,w
Magdalena,19,w
Mara,19,w
Adrian,19,m
Romy,19,w
Jason,19,m
Manuel,19,m
Matteo,19,m
Philip,19,m
Christina,18,w
Julie,18,w
Nisa,18,w
Deniz,18,m
Enes,18,m
Hannes,18,m
Malik,18,m
Marlon,18,m
Nicolas,18,m
Raphael,18,m
Alessia,17,w
Alexandra,17,w
Angelina,17,w
Melek,17,w
Benedikt,17,m
Bruno,17,m
Eric,17,m
Ferdinand,17,m
Hugo,17,m
Josef,17,m
Kian,17,m
Konrad,17,m
Lennard,17,m
Lennart,17,m
Matthias,17,m
Finja,16,w
Mona,16,w
Nora,16,w
Sofie,16,w
Andreas,16,m
Caspar,16,m
Christopher,16,m
Dominik,16,m
Kilian,16,m
Mustafa,16,m
Rafael,16,m
Richard,16,m
Severin,16,m
Toni,16,m
Ava,15,w
Jasmin,15,w
Linda,15,w
Merle,15,w
Nina,15,w
Rose,15,w
Bela,15,m
Clemens,15,m
Damian,15,m
Diego,15,m
Franz,15,m
Georg,15,m
Jannis,15,m
Lasse,15,m
Leopold,15,m
Mert,15,m
Milan,15,m
Stefan,15,m
Yasin,15,m
Ana,14,w
Anastasia,14,w
Lynn,14,w
Viktoria,14,w
Angelo,14,m
Fritz,14,m
Henrik,14,m
Jonah,14,m
Joshua,14,m
Leandro,14,m
Lennox,14,m
Levin,14,m
Matti,14,m
Mehmet,14,m
Phil,14,m
Amira,13,w
Ayşe,13,w
Larissa,13,w
Christoph,13,m
Julien,13,m
Maurice,13,m
Otto,13,m
Semih,13,m
Till,13,m
Tristan,13,m
Anne,12,w
Aurelia,12,w
Carolin,12,w
Ceylin,12,w
Dilara,12,w
Elena,12,w
Emilie,12,w
Fabienne,12,w
Lilli,12,w
Meryem,12,w
Miriam,12,w
Rosa,12,w
Stella,12,w
Su,12,w
Tuana,12,w
Ahmet,12,m
Antonio,12,m
Arda,12,m
Arthur,12,m
Eren,12,m
Heinrich,12,m
Jaden,12,m
Jannik,12,m
Kerem,12,m
Lucas,12,m
Mikail,12,m
Oscar,12,m
Taha,12,m
Ada,11,w
Aylin,11,w
Azra,11,w
Fatima,11,w
Florentine,11,w
Isabelle,11,w
Jolie,11,w
Jolina,11,w
Livia,11,w
Lucy,11,w
Milena,11,w
Olivia,11,w
Ronja,11,w
Teresa,11,w
Vanessa,11,w
Zehra,11,w
Abdullah,11,m
Albert,11,m
Amin,11,m
Johan,11,m
Kevin,11,m
Laurenz,11,m
Marvin,11,m
Said,11,m
Ömer,11,m
Amy,10,w
Ayla,10,w
Carolina,10,w
Catharina,10,w
Elanur,10,w
Kim,10,w
Leandra,10,w
Luana,10,w
Marleen,10,w
Naz,10,w
Selin,10,w
Theresa,10,w
Valeria,10,w
Alessandro,10,m
Batuhan,10,m
Berat,10,m
Emilio,10,m
Hans,10,m
Leonardo,10,m
Lorenz,10,m
Luan,10,m
Luke,10,m
Magnus,10,m
Marcel,10,m
Mark,10,m
Mateo,10,m
Maxim,10,m
Mike,10,m
Milo,10,m
Piet,10,m
Sam,10,m
Silas,10,m
Tyler,10,m
Younes,10,m
Amalia,9,w
Amélie,9,w
Aurora,9,w
Barbara,9,w
Christine,9,w
Dorothea,9,w
Eda,9,w
Elina,9,w
Eslem,9,w
Felicia,9,w
Helin,9,w
