vorname,anzahl,geschlecht
Marie,361,w
Sophie,221,w
Maria,195,w
Maximilian,160,m
Paul,140,m
Emilia,139,w
Charlotte,130,w
Elias,129,m
Anna,129,w
Noah,127,m
Alexander,125,m
Jonas,121,m
Mia,121,w
Emma,115,w
Leon,113,m
Sophia,105,w
Ben,103,m
Johanna,96,w
Felix,95,m
Jakob,93,m
David,88,m
Katharina,87,w
Mila,86,w
Luisa,85,w
Anton,84,m
Leo,83,m
Julian,79,m
Elisabeth,77,w
Moritz,77,m
Jonathan,76,m
Lena,74,w
Luca,73,m
Lea,71,w
Lina,71,w
Emil,71,m
Clara,70,w
Finn,69,m
Ella,68,w
Louis,67,m
Ida,66,w
Lara,66,w
Sofia,65,w
Jan,64,m
Johann,64,m
Philipp,62,m
Leonie,62,w
Marlene,62,w
Leonard,61,m
Tom,60,m
Luise,60,w
Benjamin,59,m
Elisa,59,w
Karl,59,m
Oskar,59,m
Paula,58,w
Lukas,58,m
Leni,55,w
Mira,55,w
Julius,55,m
Hannah,54,w
Gabriel,54,m
Amelie,53,w
Elif,53,w
Hanna,53,w
Laura,53,w
Henri,52,m
Mats,52,m
Max,52,m
Vincent,52,m
Greta,51,w
Milan,50,m
Henry,49,m
Liam,49,m
Samuel,49,m
Peter,48,m
Emily,46,w
Maya,46,w
Josefine,43,w
Mathilda,43,w
Ali,43,m
Luis,43,m
Theodor,42,m
Tim,42,m
Mina,41,w
Johannes,41,m
Theo,41,m
Frieda,40,w
Justus,40,m
Frida,39,w
Daniel,39,m
Antonia,38,w
Pauline,38,w
Frederik,38,m
Mika,38,m
Isabella,37,w
Julia,37,w
Yusuf,37,m
Helena,36,w
Matilda,36,w
Victoria,36,w
Jonah,36,m
Lotta,35,w
Louisa,35,w
Alessio,35,m
Niklas,35,m
Josef,34,m
Matteo,34,m
Michael,34,m
Mara,33,w
Sarah,33,w
Levi,33,m
Valentin,33,m
Lia,32,w
Christian,32,m
Nora,31,w
Can,31,m
Carl,31,m
Elena,30,w
Josephine,30,w
Pia,30,w
Zeynep,30,w
Eva,29,w
Jana,29,w
Maja,29,w
Benedikt,29,m
Paulina,29,w
Malik,29,m
Maxim,29,m
Ava,28,w
Meryem,28,w
Konstantin,28,m
Olivia,28,w
Linus,28,m
Martin,28,m
Simon,28,m
Alina,27,w
Klara,27,w
Lisa,27,w
Noel,27,m
Lucia,27,w
Nele,27,w
Romy,27,w
Aaron,26,m
Adam,26,m
Adrian,26,m
Alessia,26,w
Emilio,26,m
Nur,26,w
Friedrich,26,m
Rosa,26,w
Wilhelm,26,m
Amira,25,w
Muhammed,25,m
Martha,25,w
Sara,25,w
Joel,24,m
Lennard,24,m
Carla,24,w
Ole,24,m
Melina,24,w
Tilda,24,w
Viktoria,24,w
Aras,23,m
Erik,23,m
Fabian,23,m
Carlotta,23,w
Mert,23,m
Franziska,23,w
Nick,23,m
Julie,23,w
Raphael,23,m
Sofie,23,w
Sam,23,m
Zoe,23,w
Sebastian,23,m
Andreas,22,m
Luke,22,m
Matti,22,m
Piet,22,m
Theresa,21,w
Heinrich,21,m
Juna,20,w
Liya,20,w
Medina,20,w
Milla,20,w
Hamza,20,m
Jona,20,m
Marlon,20,m
Mustafa,20,m
Oliver,20,m
Oscar,20,m
Pepe,20,m
Fiona,19,w
Jule,19,w
Valentina,19,w
Bruno,19,m
Constantin,19,m
Emir,19,m
Florian,19,m
Georg,19,m
Jasper,19,m
Mattis,19,m
Nils,19,m
Robert,19,m
Robin,19,m
Yasin,19,m
Alexandra,18,w
Amalia,18,w
Ela,18,w
Elina,18,w
Fritz,18,m
Joshua,18,m
Lian,18,m
Matthias,18,m
Mehmet,18,m
Milo,18,m
Nico,18,m
Thomas,18,m
Tobias,18,m
Ömer,18,m
Edda,17,w
Hira,17,w
Jasmin,17,w
Leyla,17,w
Lilly,17,w
Lou,17,w
Luna,17,w
Malin,17,w
Nina,17,w
Zoé,17,w
Antonio,17,m
Caspar,17,m
Ferdinand,17,m
Hannes,17,m
Hendrik,17,m
John,17,m
Kian,17,m
Konrad,17,m
Leopold,17,m
Luka,17,m
Mikail,17,m
Amina,16,w
Helene,16,w
Karla,16,w
Linda,16,w
Stella,16,w
Thea,16,w
Damian,16,m
Ibrahim,16,m
Kaan,16,m
Lucas,16,m
Nikolas,16,m
Amelia,15,w
Giulia,15,w
Isabelle,15,w
Liv,15,w
Magdalena,15,w
Mariam,15,w
Melody,15,w
Milena,15,w
Nisa,15,w
Ronja,15,w
Deniz,15,m
Dominik,15,m
Franz,15,m
Hüseyin,15,m
Leandro,15,m
Luan,15,m
Mohammed,15,m
Nicolas,15,m
Rayan,15,m
Richard,15,m
Till,15,m
Anni,14,w
Asya,14,w
Christine,14,w
Lilli,14,w
Arthur,14,m
Eric,14,m
Fiete,14,m
Jannik,14,m
Johan,14,m
Lennart,14,m
Leonardo,14,m
Mio,14,m
Stefan,14,m
Alice,13,w
Alisa,13,w
Angelina,13,w
Anouk,13,w
Aurelia,13,w
Christina,13,w
Eda,13,w
Eliza,13,w
Isabell,13,w
Karlotta,13,w
Leona,13,w
Merle,13,w
Selma,13,w
Amin,13,m
Carlo,13,m
Elyas,13,m
Emilian,13,m
Eymen,13,m
Francesco,13,m
Henrik,13,m
Jacob,13,m
Jannis,13,m
Janosch,13,m
Jayden,13,m
Kerem,13,m
Kilian,13,m
Lasse,13,m
Leonas,13,m
Marcel,13,m
Mateo,13,m
Mohamed,13,m
Phil,13,m
Selim,13,m
Toni,13,m
Elise,12,w
Esma,12,w
Kristin,12,w
Lola,12,w
Lotte,12,w
Louise,12,w
Madita,12,w
Mariella,12,w
Marleen,12,w
Melek,12,w
Rosalie,12,w
Rose,12,w
Alessandro,12,m
Clemens,12,m
Dean,12,m
Efe,12,m
Enes,12,m
Ensar,12,m
Fynn,12,m
Kuzey,12,m
Lars,12,m
Leander,12,m
Levin,12,m
Lias,12,m
Maria,12,m
Miraç,12,m
Philip,12,m
Titus,12,m
Ada,11,w
Annika,11,w
Aurora,11,w
Celina,11,w
Chiara,11,w
Emilie,11,w
Lorena,11,w
Lynn,11,w
Miriam,11,w
Samira,11,w
Zehra,11,w
Ahmet,11,m
Bilal,11,m
Fabio,11,m
Gustav,11,m
Hugo,11,m
James,11,m
Juri,11,m
Manuel,11,m
Salvatore,11,m
Timur,11,m
Viktor,11,m
William,11,m
Yiğit,11,m
Alicia,10,w
Alma,10,w
Amy,10,w
Ann,10,w
Azra,10,w
Diana,10,w
Eleni,10,w
Eleonora,10,w
Elsa,10,w
Estelle,10,w
Felicitas,10,w
Finja,10,w
Florentine,10,w
Jolie,10,w
Jolina,10,w
Liana,10,w
Linn,10,w
Linnea,10,w
Luana,10,w
Malina,10,w
Maryam,10,w
Melissa,10,w
Noemi,10,w
Ruth,10,w
Tuana,10,w
Yasmin,10,w
Amar,10,m
Bela,10,m
Bennet,10,m
Dario,10,m
Diego,10,m
Ilyas,10,m
Lennox,10,m
Leonidas,10,m
Lio,10,m
Ludwig,10,m
Magnus,10,m
Mahir,10,m
Marc,10,m
Neo,10,m
Niclas,10,m
Rafael,10,m
Severin,10,m
Yannik,10,m
Alena,9,w
Anastasia,9,w
Christin,9,w
Claire,9,w
Esila,9,w
Fatima,9,w
Grace,9,w
Isabel,9,w
Joleen,9,w
Juliane,9,w
Lana,9,w
Liah,9,w
Lucie,9,w
Lucy,9,w
Margarete,9,w
Marit,9,w
Marta,9,w
Miray,9,w
Mona,9,w
Su,9,w
Valeria,9,w
Ahmed,9,m
Arda,9,m
Arian,9,m
Bastian,9,m
Carlos,9,m
Charles,9,m
Ege,9,m
Emanuel,9,m
Emin,9,m
Emre,9,m
Filip,9,m
Giuseppe,9,m
Ian,9,m
Ilias,9,m
Jerome,9,m
Malte,9,m
Maurice,9,m
Miguel,9,m
Miro,9,m
Semih,9,m
Vito,9,m
Wolfgang,9,m
Yannick,9,m
Yunus,9,m
Aleyna,8,w
Alissa,8,w
Alva,8,w
Annabelle,8,w
Ayla,8,w
Aylin,8,w
